epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4735,3.24578,3.08014,2.76341,0.01262,0.13012,0.01619,0.00767,3.03306,5.00757,2.50059,0.0671964,0.000331349,0.000331349
2,180.931,2.34799,2.1208,2.02648,0.55146,0.41891,0.46358,0.21212,2.05904,1.88739,1.85566,0.0341964,0.000664642,0.000664642
3,276.417,2.05422,1.81167,1.79756,0.62064,0.50053,0.57577,0.30033,1.78576,1.58657,1.64841,0.00119618,0.000997772,0.000997772
4,390.342,1.86933,1.61839,1.65158,0.6856,0.58774,0.67269,0.3842,1.60533,1.3356,1.51014,0.00099945,0.00099945,0.00099945
5,481.098,1.77446,1.53396,1.58058,0.72489,0.61821,0.71086,0.41957,1.51863,1.26173,1.44768,0.000999023,0.000999023,0.000999023
6,558.07,1.68704,1.43601,1.51285,0.70972,0.59177,0.68684,0.41379,1.50713,1.2688,1.43472,0.000998474,0.000998474,0.000998474
7,643.035,1.62642,1.38183,1.47491,0.75993,0.65803,0.75444,0.45754,1.4399,1.14132,1.37915,0.000997803,0.000997803,0.000997803
8,734.101,1.57254,1.33484,1.44634,0.77655,0.64361,0.7551,0.47938,1.38254,1.10918,1.35051,0.000997011,0.000997011,0.000997011
9,841.559,1.53436,1.2914,1.41755,0.75795,0.66147,0.76069,0.48963,1.34163,1.08773,1.31469,0.000996097,0.000996097,0.000996097
10,954.691,1.48787,1.239,1.38428,0.79637,0.69825,0.80206,0.52371,1.29382,1.01864,1.28809,0.000995062,0.000995062,0.000995062
11,1068.66,1.46091,1.2132,1.36718,0.80748,0.70298,0.80608,0.52905,1.27578,1.00707,1.27404,0.000993906,0.000993906,0.000993906
12,1146.86,1.4406,1.18716,1.35147,0.80695,0.70718,0.81254,0.54026,1.25011,0.97295,1.26991,0.000992629,0.000992629,0.000992629
13,1203.17,1.41865,1.16983,1.33702,0.79776,0.70368,0.80716,0.53747,1.25246,0.97765,1.25413,0.000991232,0.000991232,0.000991232
14,1296.91,1.38605,1.13123,1.31458,0.80595,0.73275,0.82493,0.55289,1.23627,0.94572,1.26074,0.000989715,0.000989715,0.000989715
15,1410.48,1.36725,1.1095,1.30482,0.83342,0.73339,0.83979,0.57203,1.18786,0.91373,1.22891,0.000988079,0.000988079,0.000988079
16,1524.79,1.34783,1.0858,1.2911,0.81023,0.72242,0.82488,0.56128,1.2062,0.93328,1.22561,0.000986323,0.000986323,0.000986323
17,1638.58,1.33105,1.07466,1.27804,0.83119,0.73555,0.84343,0.58158,1.16138,0.89168,1.19887,0.000984449,0.000984449,0.000984449
18,1729.01,1.32658,1.0672,1.27611,0.84149,0.74378,0.84783,0.59088,1.14639,0.8856,1.20203,0.000982456,0.000982456,0.000982456
19,1785.17,1.30754,1.05171,1.26229,0.83282,0.7564,0.8525,0.59447,1.14196,0.86659,1.19233,0.000980345,0.000980345,0.000980345
20,1869.03,1.29561,1.03246,1.25866,0.83446,0.73536,0.8371,0.56741,1.18073,0.89996,1.20769,0.000978118,0.000978118,0.000978118
21,1982.49,1.28782,1.02766,1.25554,0.83472,0.76681,0.85937,0.60255,1.11225,0.8338,1.17681,0.000975773,0.000975773,0.000975773
22,2096.27,1.28069,1.01589,1.24663,0.85454,0.75342,0.86117,0.61009,1.08356,0.82202,1.15648,0.000973312,0.000973312,0.000973312
23,2210.22,1.25933,0.9983,1.23727,0.84701,0.76016,0.86283,0.6116,1.07406,0.81954,1.15286,0.000970736,0.000970736,0.000970736
24,2303.5,1.25435,0.98954,1.23185,0.84302,0.77026,0.86588,0.61116,1.07754,0.81825,1.15716,0.000968045,0.000968045,0.000968045
25,2367.64,1.24295,0.97887,1.2254,0.85695,0.77109,0.86955,0.61921,1.07084,0.79892,1.14788,0.000965239,0.000965239,0.000965239
26,2444.26,1.23667,0.9751,1.22184,0.86109,0.77023,0.8745,0.62648,1.05971,0.79103,1.14534,0.00096232,0.00096232,0.00096232
27,2552.92,1.23229,0.96227,1.21469,0.85775,0.77091,0.87425,0.62321,1.06615,0.79862,1.14702,0.000959289,0.000959289,0.000959289
28,2666.57,1.21968,0.95259,1.20935,0.8721,0.78214,0.88187,0.6319,1.04761,0.78505,1.14228,0.000956145,0.000956145,0.000956145
29,2773.79,1.20026,0.9328,1.19663,0.8739,0.7732,0.88093,0.63322,1.04834,0.77601,1.14143,0.000952889,0.000952889,0.000952889
30,2864.64,1.19864,0.9372,1.19545,0.85209,0.79422,0.88183,0.63501,1.03238,0.77901,1.12935,0.000949524,0.000949524,0.000949524
31,2956.05,1.19447,0.92492,1.19449,0.87105,0.79142,0.8905,0.64275,1.02088,0.74382,1.12162,0.000946048,0.000946048,0.000946048
32,3033.64,1.18292,0.90927,1.18783,0.85891,0.81027,0.89401,0.64763,1.00573,0.74377,1.11156,0.000942464,0.000942464,0.000942464
33,3119.3,1.18064,0.91516,1.18538,0.86338,0.80473,0.89626,0.64596,1.02574,0.73126,1.11772,0.000938772,0.000938772,0.000938772
34,3233.39,1.18129,0.91482,1.18135,0.86454,0.79693,0.88787,0.6482,1.00662,0.75053,1.11133,0.000934973,0.000934973,0.000934973
35,3332.88,1.17329,0.90412,1.17661,0.85808,0.80583,0.89541,0.65242,0.99499,0.73018,1.10175,0.000931067,0.000931067,0.000931067
36,3423.72,1.16053,0.88914,1.17255,0.85808,0.80665,0.896,0.65392,0.98718,0.7333,1.10399,0.000927057,0.000927057,0.000927057
37,3530.47,1.15796,0.89595,1.17246,0.87408,0.79749,0.89566,0.65674,0.98783,0.72536,1.10383,0.000922942,0.000922942,0.000922942
38,3623.82,1.14746,0.88547,1.16611,0.87875,0.7958,0.89658,0.65668,0.98691,0.72101,1.10232,0.000918725,0.000918725,0.000918725
39,3701.32,1.14414,0.87722,1.16257,0.87233,0.81419,0.90402,0.66597,0.97372,0.70002,1.09176,0.000914405,0.000914405,0.000914405
40,3801.21,1.13009,0.86182,1.15223,0.87697,0.81144,0.90267,0.66262,0.97951,0.70909,1.09332,0.000909984,0.000909984,0.000909984
41,3892.39,1.13349,0.86222,1.15556,0.88192,0.80964,0.90436,0.66701,0.96765,0.6974,1.08918,0.000905463,0.000905463,0.000905463
42,3984.67,1.12773,0.86142,1.15347,0.88661,0.81296,0.91021,0.67605,0.95832,0.68968,1.08195,0.000900844,0.000900844,0.000900844
43,4098.08,1.12248,0.85496,1.14745,0.88704,0.81139,0.90992,0.6769,0.95172,0.68551,1.08336,0.000896127,0.000896127,0.000896127
44,4211.71,1.12244,0.8565,1.14952,0.87637,0.82312,0.90993,0.67888,0.94256,0.68092,1.07632,0.000891313,0.000891313,0.000891313
45,4291.31,1.11915,0.85012,1.14661,0.88,0.81804,0.91338,0.68181,0.94847,0.67593,1.07976,0.000886404,0.000886404,0.000886404
46,4361.34,1.11973,0.85474,1.14725,0.877,0.82312,0.91279,0.68028,0.94567,0.68393,1.07486,0.000881401,0.000881401,0.000881401
47,4452.42,1.10761,0.83518,1.14274,0.88352,0.8249,0.91523,0.68298,0.93542,0.67062,1.07309,0.000876305,0.000876305,0.000876305
48,4553.14,1.10506,0.83585,1.13858,0.88487,0.83047,0.91373,0.68032,0.9425,0.67112,1.07046,0.000871117,0.000871117,0.000871117
49,4666.81,1.09516,0.82742,1.13538,0.90414,0.81435,0.91961,0.69402,0.92178,0.65755,1.06594,0.000865839,0.000865839,0.000865839
50,4780.82,1.09669,0.82765,1.13401,0.8856,0.82382,0.91436,0.68964,0.92498,0.66109,1.06842,0.000860473,0.000860473,0.000860473
51,4882.03,1.09302,0.82795,1.13344,0.88604,0.82382,0.91842,0.68981,0.92154,0.65571,1.06337,0.000855018,0.000855018,0.000855018
52,4943.35,1.09333,0.8253,1.133,0.89305,0.82557,0.92067,0.6958,0.91126,0.65104,1.05875,0.000849477,0.000849477,0.000849477
53,5013.37,1.08599,0.81914,1.12915,0.88901,0.82995,0.91967,0.69523,0.91206,0.65086,1.06043,0.000843851,0.000843851,0.000843851
54,5124.02,1.07679,0.80673,1.12257,0.89269,0.82899,0.92042,0.69481,0.91286,0.64261,1.05518,0.000838141,0.000838141,0.000838141
55,5237.46,1.08653,0.81925,1.12774,0.88515,0.83783,0.92309,0.69397,0.9083,0.64901,1.06035,0.000832349,0.000832349,0.000832349
56,5350.97,1.06625,0.80401,1.11929,0.89883,0.83047,0.92627,0.70257,0.89593,0.63015,1.0497,0.000826477,0.000826477,0.000826477
57,5460.64,1.07106,0.80684,1.11912,0.89054,0.84203,0.92481,0.70118,0.9035,0.64045,1.05586,0.000820525,0.000820525,0.000820525
58,5525.76,1.06886,0.80356,1.11878,0.88642,0.84326,0.92847,0.70713,0.8989,0.62593,1.05388,0.000814495,0.000814495,0.000814495
59,5586.66,1.05629,0.79054,1.10981,0.89839,0.83765,0.92606,0.70391,0.89263,0.62723,1.0476,0.000808389,0.000808389,0.000808389
60,5694.19,1.05408,0.7903,1.10768,0.88933,0.84577,0.92888,0.70784,0.89267,0.62159,1.0464,0.000802208,0.000802208,0.000802208
61,5807.97,1.05642,0.79039,1.10962,0.89359,0.84413,0.92965,0.70657,0.88946,0.62208,1.04443,0.000795954,0.000795954,0.000795954
62,5921.76,1.05874,0.79552,1.11105,0.90213,0.83625,0.92862,0.71027,0.88715,0.61909,1.0459,0.000789628,0.000789628,0.000789628
63,6022.1,1.05638,0.78949,1.10954,0.90101,0.8387,0.92829,0.70943,0.87828,0.62102,1.03978,0.000783231,0.000783231,0.000783231
64,6107.5,1.04071,0.77381,1.1003,0.90167,0.84904,0.93357,0.71629,0.8717,0.60931,1.03498,0.000776766,0.000776766,0.000776766
65,6177.03,1.05835,0.79205,1.10919,0.9019,0.85176,0.93322,0.71584,0.87375,0.60895,1.03598,0.000770234,0.000770234,0.000770234
66,6263.26,1.04356,0.77427,1.1026,0.89965,0.84781,0.93187,0.71554,0.87471,0.61015,1.03717,0.000763637,0.000763637,0.000763637
67,6376.91,1.04083,0.7729,1.10368,0.89598,0.84777,0.9325,0.71524,0.86764,0.60783,1.0332,0.000756976,0.000756976,0.000756976
68,6490.22,1.03062,0.76799,1.09783,0.89333,0.85652,0.93348,0.71608,0.8655,0.60448,1.03319,0.000750252,0.000750252,0.000750252
69,6582.68,1.02775,0.76388,1.0939,0.90819,0.85009,0.93459,0.72133,0.86147,0.59948,1.03034,0.000743468,0.000743468,0.000743468
70,6673.62,1.02718,0.7649,1.09379,0.90049,0.85377,0.93468,0.7193,0.86089,0.60352,1.03095,0.000736625,0.000736625,0.000736625
71,6765.31,1.02447,0.75866,1.09032,0.8996,0.86148,0.93504,0.72019,0.86072,0.59674,1.03089,0.000729725,0.000729725,0.000729725
72,6842.57,1.02951,0.76235,1.09461,0.90292,0.86167,0.93775,0.72348,0.8554,0.59361,1.02767,0.00072277,0.00072277,0.00072277
73,6941.3,1.02842,0.7648,1.09311,0.90966,0.85482,0.9365,0.72306,0.86005,0.59649,1.02932,0.000715761,0.000715761,0.000715761
74,7048.92,1.01552,0.75092,1.08608,0.89548,0.86129,0.93708,0.72467,0.85157,0.58973,1.02353,0.0007087,0.0007087,0.0007087
75,7139.58,1.01502,0.75439,1.08505,0.90981,0.85289,0.9386,0.72235,0.8514,0.59348,1.02492,0.000701588,0.000701588,0.000701588
76,7237.48,1.02435,0.75772,1.09198,0.91625,0.84874,0.93865,0.72763,0.84714,0.58555,1.02382,0.000694428,0.000694428,0.000694428
