epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,530.131,1.0874,1.11798,1.02415,0.74784,0.64383,0.72045,0.51026,1.08004,1.22466,1.03035,0.0670254,0.000333076,0.000333076
2,1056.41,0.98458,0.81243,0.98779,0.83408,0.67304,0.77573,0.57824,0.99024,1.01733,0.98802,0.0340254,0.000666369,0.000666369
3,1588.65,0.94392,0.74512,0.97497,0.84854,0.7054,0.7951,0.58814,0.96212,0.93943,0.9903,0.0010252,0.000999499,0.000999499
4,2142.26,0.91619,0.70206,0.96391,0.82144,0.70781,0.78921,0.59796,0.97712,0.96474,0.99208,0.00099945,0.00099945,0.00099945
5,2705.28,0.88474,0.66093,0.95282,0.83943,0.71708,0.81479,0.62008,0.90824,0.92098,0.95414,0.000999023,0.000999023,0.000999023
6,3228.52,0.85819,0.63342,0.94353,0.85779,0.72541,0.81413,0.62289,0.92605,0.91136,0.96753,0.000998474,0.000998474,0.000998474
7,3750.88,0.84648,0.6148,0.93973,0.84541,0.72645,0.80264,0.62104,0.91394,0.88208,0.9617,0.000997803,0.000997803,0.000997803
8,4283.55,0.83011,0.59441,0.9329,0.87076,0.73768,0.82299,0.63847,0.88455,0.83442,0.94825,0.000997011,0.000997011,0.000997011
9,4800.32,0.81938,0.58234,0.93173,0.86156,0.73081,0.82534,0.63658,0.88656,0.84213,0.94569,0.000996097,0.000996097,0.000996097
10,5344.63,0.81236,0.57143,0.92843,0.85745,0.72219,0.82879,0.64607,0.87182,0.83342,0.94111,0.000995062,0.000995062,0.000995062
11,5905.63,0.80344,0.5591,0.92489,0.83874,0.72577,0.81569,0.64027,0.8671,0.89371,0.94,0.000993906,0.000993906,0.000993906
12,6446.62,0.79267,0.54716,0.92077,0.86769,0.73561,0.82985,0.65254,0.85847,0.8255,0.93449,0.000992629,0.000992629,0.000992629
13,6981.17,0.78897,0.5429,0.91924,0.86065,0.72636,0.82419,0.6477,0.86456,0.86418,0.93509,0.000991232,0.000991232,0.000991232
14,7504.54,0.78121,0.53441,0.91703,0.85551,0.72935,0.8267,0.65301,0.855,0.83009,0.93178,0.000989715,0.000989715,0.000989715
15,8025.03,0.77472,0.52625,0.91475,0.8784,0.75333,0.84543,0.66572,0.86086,0.80815,0.9362,0.000988079,0.000988079,0.000988079
16,8551.58,0.77196,0.52311,0.91336,0.87256,0.74905,0.83905,0.66325,0.84573,0.79301,0.93052,0.000986323,0.000986323,0.000986323
17,9093.23,0.76338,0.51328,0.91195,0.87742,0.74892,0.84216,0.66519,0.84898,0.80252,0.93396,0.000984449,0.000984449,0.000984449
